module_rel,kind,qualname,dst_anchor_line,insert_type,parent_class,ctx_before,ctx_after
admin_logo_management_ui.py,func,get_unique_brands_from_products,0,toplevel,,,
admin_logo_management_ui.py,func,validate_image_file,0,toplevel,,,
admin_logo_management_ui.py,func,convert_uploaded_file_to_base64,0,toplevel,,,
admin_logo_management_ui.py,func,display_logo_preview,0,toplevel,,,
admin_logo_management_ui.py,func,render_logo_upload_section,0,toplevel,,,
admin_logo_management_ui.py,func,render_logo_management_section,0,toplevel,,,
admin_logo_management_ui.py,func,render_logo_edit_section,0,toplevel,,,
admin_logo_management_ui.py,func,render_logo_management_ui,0,toplevel,,,
admin_logo_management_ui.py,func,render_logo_positions_tab,0,toplevel,,,
admin_logo_management_ui.py,func,render_logo_statistics_section,0,toplevel,,,
admin_logo_positions_ui.py,func,render_logo_position_settings,0,toplevel,,,
admin_logo_positions_ui.py,func,render_logo_position_test,0,toplevel,,,
admin_panel.py,func,render_logo_management_tab,2054,toplevel,,"             \n     except ImportError: \n         st.error("" Datenbankfunktionen für Bildvorlagen nicht verfügbar."")",
analysis.py,func,create_four_type_chart,8987,toplevel,,"            st.info("" **Gut:** Ihre Anlage liegt im guten Bereich."") \n         else: \n             st.warning("" **Verbesserungspotenzial:** Prüfen Sie Standort und Konfiguration."")", \n 
analysis.py,func,_get_baseline_annual_costs_without_pv,8987,toplevel,,"            st.info("" **Gut:** Ihre Anlage liegt im guten Bereich."") \n         else: \n             st.warning("" **Verbesserungspotenzial:** Prüfen Sie Standort und Konfiguration."")", \n 
analysis.py,func,_compute_annual_cost_series,8987,toplevel,,"            st.info("" **Gut:** Ihre Anlage liegt im guten Bereich."") \n         else: \n             st.warning("" **Verbesserungspotenzial:** Prüfen Sie Standort und Konfiguration."")", \n 
brand_logo_db.py,func,create_brand_logos_table,0,toplevel,,,
brand_logo_db.py,func,add_brand_logo,0,toplevel,,,
brand_logo_db.py,func,get_brand_logo,0,toplevel,,,
brand_logo_db.py,func,list_all_brand_logos,0,toplevel,,,
brand_logo_db.py,func,delete_brand_logo,0,toplevel,,,
brand_logo_db.py,func,upload_logo_from_file,0,toplevel,,,
brand_logo_db.py,func,update_logo_position,0,toplevel,,,
brand_logo_db.py,func,get_logos_for_brands,0,toplevel,,,
brand_logo_db.py,func,deactivate_brand_logo,0,toplevel,,,
tools/custom_dynamic_calculation.py,func,calculate_savings,0,toplevel,,,
tools/custom_dynamic_calculation.py,class,SavingsResult,0,toplevel,,,
pdf_template_engine/dynamic_overlay.py,func,_as_image_reader,591,toplevel,,"    overlay = generate_overlay(coords_dir, dynamic_data, total_pages=total_pages) \n     fused = merge_with_background(overlay, bg_dir) \n     return append_additional_pages(fused, additional_pdf)",
pdf_template_engine/dynamic_overlay.py,func,_draw_page3_right_chart_and_separator,591,toplevel,,"    overlay = generate_overlay(coords_dir, dynamic_data, total_pages=total_pages) \n     fused = merge_with_background(overlay, bg_dir) \n     return append_additional_pages(fused, additional_pdf)",
pdf_template_engine/dynamic_overlay.py,func,_remove_text_from_page,591,toplevel,,"    overlay = generate_overlay(coords_dir, dynamic_data, total_pages=total_pages) \n     fused = merge_with_background(overlay, bg_dir) \n     return append_additional_pages(fused, additional_pdf)",
heatpump_pricing.py,func,_norm,0,toplevel,,,
heatpump_pricing.py,func,load_heatpump_components,0,toplevel,,,
heatpump_pricing.py,func,calculate_base_price,0,toplevel,,,
heatpump_pricing.py,func,apply_discounts_and_surcharges,0,toplevel,,,
heatpump_pricing.py,func,calculate_beg_subsidy,0,toplevel,,,
heatpump_pricing.py,func,calculate_annuity_loan,0,toplevel,,,
heatpump_pricing.py,func,build_full_heatpump_offer,0,toplevel,,,
heatpump_pricing.py,func,extract_placeholders_from_offer,0,toplevel,,,
heatpump_pricing.py,class,ComponentCost,0,toplevel,,,
heatpump_pricing.py,class,BegConfig,0,toplevel,,,
heatpump_ui.py,func,render_components_offer_tab,1092,toplevel,,"        or {} \n     ) \n     render_heatpump_analysis(texts, project_data_effective)"," \n if __name__ == ""__main__"":"
pdf_template_engine/merger.py,func,merge_first_seven_pages,18,toplevel,, \n     out = io.BytesIO(); writer.write(out) \n     return out.getvalue(),
migrate_logo_database.py,func,migrate_logo_database,0,toplevel,,,
pdf_template_engine/placeholders.py,func,USE_PERFORM_CALCULATIONS,1390,toplevel,,"	result[""static_ac_installation""] = ""AC Installation | Inbetriebnahme"" \n  \n 	return result",
pdf_template_engine/placeholders.py,func,_fit_to_float,1390,toplevel,,"	result[""static_ac_installation""] = ""AC Installation | Inbetriebnahme"" \n  \n 	return result",
pdf_template_engine/placeholders.py,func,_normalize_tariff_to_eur_per_kwh,1390,toplevel,,"	result[""static_ac_installation""] = ""AC Installation | Inbetriebnahme"" \n  \n 	return result",
pdf_template_engine/placeholders.py,func,resolve_feed_in_tariff_eur_per_kwh,1390,toplevel,,"	result[""static_ac_installation""] = ""AC Installation | Inbetriebnahme"" \n  \n 	return result",
pdf_template_engine/placeholders.py,func,get_feed_in_tariff_eur_per_kwh,1390,toplevel,,"	result[""static_ac_installation""] = ""AC Installation | Inbetriebnahme"" \n  \n 	return result",
pdf_template_engine/placeholders.py,func,fmt_number,1390,toplevel,,"	result[""static_ac_installation""] = ""AC Installation | Inbetriebnahme"" \n  \n 	return result",
components/progress_demo.py,func,main,0,toplevel,,,
components/progress_manager.py,func,set_progress_style,0,toplevel,,,
components/progress_manager.py,func,set_progress_colors,0,toplevel,,,
components/progress_manager.py,func,progress,0,toplevel,,,
components/progress_manager.py,func,create_progress_bar,0,toplevel,,,
components/progress_manager.py,func,with_progress,0,toplevel,,,
components/progress_manager.py,class,ProgressStyle,0,toplevel,,,
components/progress_manager.py,class,ProgressConfig,0,toplevel,,,
components/progress_manager.py,class,ProgressManager,0,toplevel,,,
components/progress_manager.py,class,ProgressBar,0,toplevel,,,
components/progress_settings.py,func,render_progress_settings,0,toplevel,,,
components/progress_settings.py,func,demo_progress_bar,0,toplevel,,,
components/progress_settings.py,func,render_quick_themes,0,toplevel,,,
